,X,t_diff,x_diff,(1/2)xx_diff,left,right,value
349,5.121490955352783,-0.34734010696411133,0.2181529998779297,0.0,-0.34734010696411133,0.23392081260681152,0.23392081260681152
350,-8.115802764892578,0.21336078643798828,0.0,0.0,0.21336078643798828,0.09012889862060547,0.21336078643798828
351,3.55049729347229,-0.31632184982299805,0.0476837158203125,-5.9604644775390625,-6.2767863273620605,0.10511445999145508,0.10511445999145508
352,7.092501640319824,-0.7627129554748535,0.7426738739013672,-10.43081283569336,-11.193525791168213,1.1067026853561401,1.1067026853561401
353,8.50450611114502,-1.945948600769043,0.7462501525878906,-8.940696716308594,-10.886645317077637,0.7446155548095703,0.7446155548095703
354,5.321048736572266,-0.9369611740112305,0.24080276489257812,-5.9604644775390625,-6.897425651550293,0.2791903018951416,0.2791903018951416
355,-9.736220359802246,-0.25566816329956055,0.0011920928955078125,-2.9802322387695312,-3.235900402069092,0.09101128578186035,0.09101128578186035
356,9.671106338500977,2.126586437225342,0.1811981201171875,0.0,2.126586437225342,0.1799001693725586,2.126586437225342
357,-5.461209774017334,-0.07141828536987305,-0.0011920928955078125,-5.9604644775390625,-6.0318827629089355,0.09234333038330078,0.09234333038330078
358,-8.123858451843262,0.2109229564666748,-0.0011920928955078125,-5.9604644775390625,-5.749541521072388,0.0901331901550293,0.0901331901550293
359,9.356505393981934,2.459251880645752,0.44226646423339844,-8.940696716308594,-6.481444835662842,0.3966381549835205,0.3966381549835205
360,-3.642646312713623,-0.09773969650268555,0.010728836059570312,-2.9802322387695312,-3.077971935272217,0.09819483757019043,0.09819483757019043
361,0.5231975317001343,-0.15083551406860352,0.010728836059570312,0.0,-0.15083551406860352,0.08313822746276855,0.08313822746276855
362,6.715396881103516,-0.4503786563873291,0.743865966796875,10.43081283569336,9.98043417930603,0.9191991090774536,9.98043417930603
363,3.8384594917297363,-0.805509090423584,0.0476837158203125,0.0,-0.805509090423584,0.11939167976379395,0.11939167976379395
364,-9.67490005493164,-0.22063255310058594,-0.002384185791015625,0.0,-0.22063255310058594,0.09097695350646973,0.09097695350646973
365,7.616057872772217,-1.174396276473999,0.7432699203491211,2.9802322387695312,1.8058359622955322,0.9718929529190063,1.8058359622955322
366,5.6526970863342285,-0.47298669815063477,0.34332275390625,2.9802322387695312,2.5072455406188965,0.36711692810058594,2.5072455406188965
367,3.1550629138946533,0.06829500198364258,0.015497207641601562,-2.9802322387695312,-2.9119372367858887,0.09271073341369629,0.09271073341369629
368,6.213567733764648,-0.7724285125732422,0.49173831939697266,-1.4901161193847656,-2.262544631958008,0.5798838138580322,0.5798838138580322
369,3.939826011657715,-1.0282039642333984,0.054836273193359375,0.0,-1.0282039642333984,0.12432074546813965,0.12432074546813965
370,-1.7218033075332642,0.03370046615600586,0.0095367431640625,-5.9604644775390625,-5.926764011383057,0.09209847450256348,0.09209847450256348
371,4.30905294418335,-1.0384202003479004,0.059604644775390625,0.0,-1.0384202003479004,0.14438199996948242,0.14438199996948242
372,-1.266687273979187,0.2905130386352539,-0.020265579223632812,-2.9802322387695312,-2.6897192001342773,0.08651542663574219,0.08651542663574219
373,-0.3638474643230438,-0.22978782653808594,-0.008344650268554688,2.9802322387695312,2.7504444122314453,0.07981085777282715,2.7504444122314453
374,3.231403350830078,0.0658273696899414,0.01430511474609375,0.0,0.0658273696899414,0.09381294250488281,0.09381294250488281
