,X,t_diff,x_diff,(1/2)xx_diff,Beta_u,left,right,value,S,C,Phi,boundary_check
62,-0.9917984008789062,-1.5726566314697266,0.06636679172515869,-0.056624412536621094,0.06085256438404321,-1.4551796545490623,0.23495107889175415,-1.4551796545490623,0.11127271430983296,0.042969781429037256,0.0,0.042969781429037256
79,-0.9809383749961853,-1.5529141426086426,0.06622970104217529,0.05465000867843628,0.06103868084436655,-1.5465254704427123,0.23566967248916626,-1.5465254704427123,0.11248772444652691,0.04333540976308046,0.0,0.04333540976308046
30,-0.9718894958496094,-1.5380464792251587,0.06646960973739624,0.07759779691696167,0.0611950759447664,-1.554449200197354,0.23627351224422455,-1.554449200197354,0.1135102315651021,0.04364306627283516,0.0,0.04364306627283516
4,-0.9402674436569214,-1.4851338863372803,0.06684958934783936,0.13343989849090576,0.06173990193329751,-1.5568338828948884,0.23837707936763763,-1.5568338828948884,0.11715701351716107,0.04473192838861184,0.0,0.04473192838861184
96,-0.9340746998786926,-1.4739655256271362,0.06853267550468445,0.19203871488571167,0.06184669968317449,-1.6041575408296733,0.2387894243001938,-1.6041575408296733,0.11788478801835334,0.044947988676547826,0.0,0.044947988676547826
81,-0.9040267467498779,-1.429964542388916,0.07207170128822327,0.0651925802230835,0.06239190775385499,-1.4327652148581445,0.24089446663856506,-1.4327652148581445,0.12148073953954266,0.04602923733694516,0.0,0.04602923733694516
93,-0.8815190196037292,-1.3986296653747559,0.0754036009311676,0.04887580871582031,0.06281684099520743,-1.3846886330953687,0.24253512918949127,-1.3846886330953687,0.12424599798136261,0.04686615473110192,0.0,0.04686615473110192
34,-0.872910737991333,-1.3834856748580933,0.07301345467567444,-0.01598149538040161,0.06298178470127284,-1.3045223947764188,0.24317197501659393,-1.3045223947764188,0.12532015922929668,0.04719149315407624,0.0,0.04719149315407624
71,-0.8458168506622314,-1.3439692258834839,0.07633715867996216,-0.04589557647705078,0.06350972960574924,-1.234563919800684,0.24521036446094513,-1.234563919800684,0.1287619851807618,0.04823481483373447,0.0,0.04823481483373447
41,-0.8414431214332581,-1.3360812664031982,0.0751979649066925,-0.032670795917510986,0.06359716466730833,-1.239813305818379,0.24554795026779175,-1.239813305818379,0.1293263886130923,0.04840675272076045,0.0,0.04840675272076045
14,-0.8234937787055969,-1.3116627931594849,0.07605329155921936,-0.07458031177520752,0.06394966825515032,-1.173132813129127,0.24690896272659302,-1.173132813129127,0.1316686706113993,0.049112986802905635,0.0,0.049112986802905635
66,-0.7373809814453125,-1.2127131223678589,0.09333044290542603,0.6002932786941528,0.06578585472029447,-1.7472205463417172,0.25399845838546753,-1.7472205463417172,0.14350953704151193,0.052741482155076444,0.0,0.052741482155076444
