,X,t_diff,x_diff,(1/2)xx_diff,Beta_u,left,right,value,S,C,Phi,boundary_check
62,-0.9917984008789062,-0.2711877226829529,0.032876431941986084,-0.08910894393920898,0.08571745949921011,-0.09636131924453378,0.3309541642665863,-0.09636131924453378,0.11127271430983296,0.06052761352977982,0.0,0.06052761352977982
79,-0.9809383749961853,-0.2765744924545288,0.034677982330322266,-0.12800097465515137,0.08581290284824371,-0.06276061495113373,0.33132266998291016,-0.06276061495113373,0.11248772444652691,0.060924273861191564,0.0,0.060924273861191564
30,-0.9718894958496094,-0.28035491704940796,0.034905970096588135,-0.022277235984802246,0.08589177386647462,-0.1721859071981311,0.3316271901130676,-0.1721859071981311,0.1135102315651021,0.0612562419651105,0.0,0.0612562419651105
4,-0.9402674436569214,-0.29487907886505127,0.033576786518096924,0.03300607204437256,0.08616872553354502,-0.2417164253758788,0.33269649744033813,-0.2417164253758788,0.11715701351716107,0.06243115293686079,0.0,0.06243115293686079
96,-0.9340746998786926,-0.2973034977912903,0.034609436988830566,-0.08940696716308594,0.08622409271046519,-0.12167243791773916,0.3329102694988251,-0.12167243791773916,0.11788478801835334,0.0626646136762244,0.0,0.0626646136762244
81,-0.9040267467498779,-0.3082573413848877,0.03317743539810181,0.06116926670074463,0.08648115294927358,-0.2829454551363587,0.3339027762413025,-0.2829454551363587,0.12148073953954266,0.06380092639543974,0.0,0.06380092639543974
93,-0.8815190196037292,-0.3090977668762207,0.03316700458526611,0.04589557647705078,0.08667894800135492,-0.2683143953519166,0.3346664607524872,-0.2683143953519166,0.12424599798136261,0.06466910663767013,0.0,0.06466910663767013
34,-0.872910737991333,-0.3079742193222046,0.03338456153869629,0.05081295967102051,0.08675585071760415,-0.27203132827562093,0.3349633812904358,-0.27203132827562093,0.12532015922929668,0.0650051146475869,0.0,0.0650051146475869
71,-0.8458168506622314,-0.3010079264640808,0.03310441970825195,-0.04038214683532715,0.08699202379891276,-0.17363375582984092,0.3358752429485321,-0.17363375582984092,0.1287619851807618,0.06606931230852746,0.0,0.06606931230852746
41,-0.8414431214332581,-0.29872357845306396,0.03304630517959595,0.07033348083496094,0.08702784689497947,-0.28202921239304546,0.3360135555267334,-0.28202921239304546,0.1293263886130923,0.06624093206832848,0.0,0.06624093206832848
14,-0.8234937787055969,-0.2982676029205322,0.03428906202316284,-0.04723668098449707,0.08718787370550632,-0.16384304823052884,0.3366314172744751,-0.16384304823052884,0.1316686706113993,0.06695979834621067,0.0,0.06695979834621067
66,-0.7373809814453125,-0.2910122275352478,0.04007220268249512,0.26144087314605713,0.08798748287761211,-0.46446561780369283,0.33971869945526123,-0.46446561780369283,0.14350953704151193,0.0705408522514504,0.0,0.0705408522514504
6,-0.7373426556587219,-0.29100775718688965,0.04002898931503296,0.26166439056396484,0.0879874751587808,-0.4646846725920737,0.33971866965293884,-0.4646846725920737,0.14351503726280176,0.07054219513922329,0.0,0.07054219513922329
39,-0.646166980266571,-0.31964778900146484,0.041942298412323,-0.018402934074401855,0.08903407921367883,-0.21221077571338415,0.34375959634780884,-0.21221077571338415,0.157215188516522,0.07470391032027396,0.0,0.07470391032027396
74,-0.6457124352455139,-0.3204748034477234,0.040975213050842285,-0.11302530765533447,0.0890453487073779,-0.11840414708501101,0.3438031077384949,-0.11840414708501101,0.1572866661413653,0.07473031422769862,0.0,0.07473031422769862
16,-0.6442738771438599,-0.3205537796020508,0.04219412803649902,-0.007525086402893066,0.08905796127772331,-0.2239707319214344,0.34385180473327637,-0.2239707319214344,0.1575130949756936,0.07479457049178533,0.0,0.07479457049178533
63,-0.6042541861534119,-0.3301158547401428,0.04070550203323364,0.18306076526641846,0.08948672691881655,-0.42368989308774474,0.34550726413726807,-0.42368989308774474,0.16394455452596465,0.07667057711249937,0.0,0.07667057711249937
2,-0.5974500775337219,-0.3334522247314453,0.04279613494873047,0.04552304744720459,0.08957330133068561,-0.28940197084796426,0.34584152698516846,-0.28940197084796426,0.1650638546842467,0.07700576295527567,0.0,0.07700576295527567
72,-0.5589261054992676,-0.34842342138290405,0.05021393299102783,0.08746981620788574,0.0900349800684452,-0.3458582575223446,0.3476240634918213,-0.3458582575223446,0.1715468434837323,0.07890500713000134,0.0,0.07890500713000134
87,-0.5299326181411743,-0.3635615110397339,0.049717724323272705,0.0054389238357543945,0.09041344980478286,-0.27858698507070545,0.34908533096313477,-0.27858698507070545,0.17659338969347463,0.08039140060903653,0.0,0.08039140060903653
67,-0.5051605701446533,-0.37140101194381714,0.048100948333740234,0.993385910987854,0.09072598528414964,-1.2740609376475216,0.35029202699661255,-1.2740609376475216,0.1810226034687306,0.08167265458319588,0.0,0.08167265458319588
68,-0.445730060338974,-0.43697506189346313,0.11077076196670532,0.5917251110076904,0.09212078581902385,-0.9365793870821297,0.3556773364543915,-0.9365793870821297,0.1921069819135322,0.08542440707998006,0.0,0.08542440707998006
29,-0.43150633573532104,-0.46658068895339966,0.11498630046844482,0.16883015632629395,0.09253792690017819,-0.5428729183795155,0.3572879135608673,-0.5428729183795155,0.19485898418259698,0.08642244925960062,0.0,0.08642244925960062
60,-0.41548770666122437,-0.49802064895629883,0.11492818593978882,0.3828853368759155,0.09301051234656571,-0.7878954734856487,0.35911256074905396,-0.7878954734856487,0.19800549206165452,0.08756091381870108,0.0,0.08756091381870108
69,-0.4148666560649872,-0.5003869533538818,0.1107141375541687,0.24259090423583984,0.09303040377482771,-0.6499474538148939,0.35918936133384705,-0.6499474538148939,0.1981285016842036,0.0876067852925008,0.0,0.0876067852925008
12,-0.38720759749412537,-0.5505993962287903,0.13001859188079834,1.0149180889129639,0.09389018123692273,-1.4716273039048313,0.36250895261764526,-1.4716273039048313,0.20368503958480014,0.08964521060711268,0.0,0.08964521060711268
31,-0.3674694895744324,-0.6045684218406677,0.1524418592453003,0.34168362617492676,0.09461800527793168,-0.8516340427376627,0.36531907320022583,-0.8516340427376627,0.20774533634452194,0.09123431298979831,0.0,0.09123431298979831
