,X,t_diff,x_diff,(1/2)xx_diff,Beta_u,left,right,value,S,C,Phi,boundary_check
62,-0.9917984008789062,0.7700487971305847,0.1134634017944336,-0.4786252975463867,0.056863696213930844,1.3055377908909023,0.21955010294914246,0.21955010294914246,0.11127271430983296,0.04015312456085246,0.0,0.04015312456085246
79,-0.9809383749961853,0.7445350289344788,0.11455565690994263,-0.4398822784423828,0.05718197450378537,1.241599281880647,0.22077897191047668,0.22077897191047668,0.11248772444652691,0.040597278019520976,0.0,0.040597278019520976
30,-0.9718894958496094,0.7227562665939331,0.12269318103790283,-0.3836303949356079,0.05745118418306112,1.1638378457126022,0.22181838750839233,0.22181838750839233,0.1135102315651021,0.04097299987040268,0.0,0.04097299987040268
4,-0.9402674436569214,0.6426900625228882,0.12252554297447205,0.0036135315895080566,0.0584107545556277,0.6974872854890078,0.22552327811717987,0.22552327811717987,0.11715701351716107,0.042319887270471576,0.0,0.042319887270471576
96,-0.9340746998786926,0.6292909383773804,0.1139424741268158,0.37163496017456055,0.05858696003656089,0.3162429382393807,0.22620360553264618,0.22620360553264618,0.11788478801835334,0.042578925469051516,0.0,0.042578925469051516
81,-0.9040267467498779,0.5549773573875427,0.11881887912750244,0.19181519746780396,0.059517113943040365,0.42267927386277915,0.2297949194908142,0.2297949194908142,0.12148073953954266,0.04390837629299685,0.0,0.04390837629299685
93,-0.8815190196037292,0.5001336336135864,0.11821538209915161,0.005289912223815918,0.060226138770416375,0.5550698601601869,0.23253245651721954,0.23253245651721954,0.12424599798136261,0.044933293265837684,0.0,0.044933293265837684
34,-0.872910737991333,0.4801824688911438,0.11415332555770874,-0.18790364265441895,0.06049442990876734,0.72858054145433,0.23356832563877106,0.23356832563877106,0.12532015922929668,0.04532774814876981,0.0,0.04532774814876981
71,-0.8458168506622314,0.42480677366256714,0.11919364333152771,0.22199004888534546,0.06130922202204167,0.2641259467992634,0.2367142289876938,0.2367142289876938,0.1287619851807618,0.0465635579019343,0.0,0.0465635579019343
41,-0.8414431214332581,0.4135213792324066,0.12282580137252808,0.22120773792266846,0.06145511565245688,0.25376875696219503,0.23727752268314362,0.23727752268314362,0.1293263886130923,0.046776339831756865,0.0,0.046776339831756865
14,-0.8234937787055969,0.3724507987499237,0.1189693808555603,0.25443732738494873,0.06202036566860973,0.18003383703358472,0.23945994675159454,0.18003383703358472,0.1316686706113993,0.04763129322955472,0.0,0.04763129322955472
66,-0.7373809814453125,0.18482208251953125,0.12708157300949097,0.37904828786849976,0.06482847263640165,-0.12939773271256685,0.2503020167350769,-0.12939773271256685,0.14350953704151193,0.051973934932228766,0.0,0.051973934932228766
6,-0.7373426556587219,0.18489956855773926,0.12708157300949097,0.471360981464386,0.06482844176107645,-0.2216329711455703,0.25030189752578735,-0.2216329711455703,0.14351503726280176,0.05197490416708752,0.0,0.05197490416708752
39,-0.646166980266571,0.04906952381134033,0.1340627670288086,0.09864568710327148,0.0678568325959444,0.018280669304013245,0.26199448108673096,0.018280669304013245,0.157215188516522,0.05693517338118847,0.0,0.05693517338118847
74,-0.6457124352455139,0.04388093948364258,0.13089030981063843,0.03553926944732666,0.06789199959135055,0.07623366962766646,0.2621302604675293,0.07623366962766646,0.1572866661413653,0.05697760227411,0.0,0.05697760227411
16,-0.6442738771438599,0.0421866774559021,0.13165771961212158,-0.27492642402648926,0.06793940093436837,0.3850525024167597,0.26231327652931213,0.26231327652931213,0.1575130949756936,0.057058327402183084,0.0,0.057058327402183084
63,-0.6042541861534119,0.008955597877502441,0.13096928596496582,-0.32372772693634033,0.06929972916865348,0.40198305398249623,0.2675654888153076,0.2675654888153076,0.16394455452596465,0.05937472977328597,0.0,0.05937472977328597
2,-0.5974500775337219,0.00616908073425293,0.13073086738586426,0.01601874828338623,0.06952566707965731,0.05967599953052401,0.26843783259391785,0.05967599953052401,0.1650638546842467,0.05977090225443546,0.0,0.05977090225443546
72,-0.5589261054992676,-0.012739002704620361,0.12613385915756226,0.645369291305542,0.07083461105397343,-0.5872736829561889,0.27349165081977844,-0.5872736829561889,0.1715468434837323,0.062078155468193515,0.0,0.062078155468193515
87,-0.5299326181411743,-0.03825277090072632,0.15991181135177612,0.3084540367126465,0.07195673615431786,-0.27475007145905495,0.27782416343688965,-0.27475007145905495,0.17659338969347463,0.06398055615829956,0.0,0.06398055615829956
67,-0.5051605701446533,-0.06972700357437134,0.16212314367294312,0.1321732997894287,0.07298652087581158,-0.12891378248798846,0.28180015087127686,-0.12891378248798846,0.1810226034687306,0.065703369217207,0.0,0.065703369217207
68,-0.445730060338974,-0.07071048021316528,0.17036497592926025,0.040978193283081055,0.07556008729511499,-0.03612858620113135,0.2917366623878479,-0.03612858620113135,0.1921069819135322,0.07006752709184748,0.0,0.07006752709184748
29,-0.43150633573532104,-0.05860328674316406,0.16662180423736572,-0.056624412536621094,0.07617006021982431,0.07419118601328134,0.29409176111221313,0.07419118601328134,0.19485898418259698,0.07113627228270893,0.0,0.07113627228270893
60,-0.41548770666122437,-0.048100948333740234,0.17147362232208252,-0.0432133674621582,0.07687863349556923,0.0719910526239872,0.2968275547027588,0.0719910526239872,0.19800549206165452,0.07237422128073673,0.0,0.07237422128073673
