,X,t_diff,x_diff,(1/2)xx_diff,Beta_u,left,right,value,S,C,Phi,boundary_check
39,-4.797872543334961,0.8021831512451172,0.008475780487060547,-0.15050172805786133,0.4989342327884435,1.451619112091422,1.9263795614242554,1.451619112091422,0.12370911174988136,2.6367686422938768,0.0,2.6367686422938768
175,-4.726454257965088,0.8150219917297363,-0.0038385391235351562,-0.12189149856567383,0.4989989474700689,1.435912437765479,1.9266294240951538,1.435912437765479,0.13286734468814923,2.732785968584958,0.0,2.732785968584958
104,-4.669497966766357,0.786125659942627,0.00016689300537109375,-0.18417835235595703,0.4990383135097026,1.4693423258082867,1.926781415939331,1.4693423258082867,0.14065463848593024,2.8117910548652274,0.0,2.8117910548652274
189,-4.531734466552734,0.7448911666870117,0.0018239021301269531,0.21696090698242188,0.49916706361579893,1.0270973233203888,1.9272785186767578,1.0270973233203888,0.16142990336192484,3.0126606227219836,0.0,3.0126606227219836
193,-4.447391033172607,0.6866216659545898,-0.0013589859008789062,-0.5584955215454102,0.4992809318151474,1.7443981193151474,1.927718162536621,1.7443981193151474,0.1756361361764686,3.1428784373326173,0.0,3.1428784373326173
170,-4.411398410797119,0.7049798965454102,0.008529424667358398,0.41872262954711914,0.4992684890590906,0.7855257560573816,1.9276701211929321,0.7855257560573816,0.1820728841520841,3.1997557433759956,0.0,3.1997557433759956
132,-4.367859840393066,0.6533503532409668,-0.0015616416931152344,-0.3987550735473633,0.49934583174872393,1.5514512585370541,1.9279687404632568,1.5514512585370541,0.19017517853787924,3.2705400472926325,0.0,3.2705400472926325
24,-4.28948974609375,0.6556391716003418,0.0006794929504394531,0.5948543548583984,0.49938226463246344,0.5601670813744069,1.9281094074249268,0.5601670813744069,0.20567880110155407,3.401221932504666,0.0,3.401221932504666
40,-4.176845073699951,0.5950212478637695,0.00788569450378418,-0.010728836059570312,0.49949780009937284,1.1052478840227127,1.9285554885864258,1.1052478840227127,0.23020274172056757,3.598711196900335,0.0,3.598711196900335
154,-4.117273807525635,0.5754709243774414,0.0032842159271240234,0.28192996978759766,0.4995491766405105,0.7930901312303542,1.9287538528442383,0.7930901312303542,0.24433290803248522,3.7076738798817104,0.0,3.7076738798817104
12,-4.112022399902344,0.5903482437133789,0.003719329833984375,0.3534555435180664,0.49954741674697395,0.7364401169422865,1.9287470579147339,0.7364401169422865,0.24561937465221845,3.7173893075404405,0.0,3.7173893075404405
180,-4.108796119689941,0.5765080451965332,0.0003516674041748047,0.45180320739746094,0.49955498120164865,0.6242598190007209,1.9287762641906738,0.6242598190007209,0.24641309126807234,3.7234351856713714,0.0,3.7234351856713714
152,-4.035045623779297,0.5673527717590332,-0.0030279159545898438,0.02205371856689453,0.49958103997611997,1.0448800931682587,1.9288768768310547,1.0448800931682587,0.26527309866029397,3.8632173214161405,0.0,3.8632173214161405
129,-4.018272399902344,0.5696654319763184,-0.0019788742065429688,0.03814697265625,0.49958860443079467,1.031107063750863,1.9289060831069946,1.031107063750863,0.2697601093522322,3.8957465098644866,0.0,3.8957465098644866
6,-3.962649345397949,0.5620956420898438,0.004732608795166016,0.01996755599975586,0.4995680414642095,1.0416961275542973,1.9288266897201538,1.0416961275542973,0.28519014541117055,4.005226218767318,0.0,4.005226218767318
149,-3.961449146270752,0.5743980407714844,0.0003457069396972656,-0.0959634780883789,0.4995878016723394,1.1699493205322027,1.9289029836654663,1.1699493205322027,0.2855326358620359,4.007784184628488,0.0,4.007784184628488
44,-3.942584753036499,0.5561351776123047,-0.004929304122924805,-0.13262033462524414,0.4995771496851444,1.1883326619226933,1.9288618564605713,1.1883326619226933,0.29097016235382367,4.045602653280821,0.0,4.045602653280821
168,-3.9362552165985107,0.5930304527282715,-0.004124641418457031,0.5301833152770996,0.49955470332372187,0.5624018407748937,1.9287751913070679,0.5624018407748937,0.29281770948907543,4.058218294520383,0.0,4.058218294520383
80,-3.9283461570739746,0.5761027336120605,-0.0005543231964111328,-0.28818845748901367,0.49958008284103866,1.3638712739421128,1.9288731813430786,1.3638712739421128,0.2951428047213885,4.07447317966785,0.0,4.07447317966785
27,-3.9034528732299805,0.5941867828369141,-0.0016093254089355469,0.4240870475769043,0.49954525547420975,0.6696449907342195,1.9287387132644653,0.6696449907342195,0.3025820882744767,4.125113317007434,0.0,4.125113317007434
101,-3.8727478981018066,0.5764245986938477,-0.0012636184692382812,0.009834766387939453,0.49955701897311205,1.0661468512790202,1.9287841320037842,1.0661468512790202,0.31201697144356383,4.188902728195508,0.0,4.188902728195508
172,-3.8153350353240967,0.6063342094421387,0.0018298625946044922,0.32573938369750977,0.4995076802034378,0.7801025059480666,1.928593635559082,0.7801025059480666,0.3304549841633176,4.310220528588703,0.0,4.310220528588703
85,-3.753936529159546,0.595557689666748,-0.002968311309814453,-0.060498714447021484,0.49950974885022636,1.155566152963996,1.928601622581482,1.155566152963996,0.3513802431507901,4.44433861767663,0.0,4.44433861767663
35,-3.6036176681518555,0.6318330764770508,-0.0008106231689453125,-0.026226043701171875,0.4994293186280727,1.1574884388062954,1.9282910823822021,1.1574884388062954,0.4083757930696174,4.789754444087104,0.0,4.789754444087104
7,-3.5551140308380127,0.6588220596313477,0.002771615982055664,0.24259090423583984,0.49939615852880476,0.9156273139243125,1.9281630516052246,0.9156273139243125,0.4286717391594474,4.906770875700092,0.0,4.906770875700092
49,-3.5013504028320312,0.6696224212646484,-0.0034749507904052734,0.1329183578491211,0.4993763983206749,1.0360804617362023,1.928086757659912,1.0360804617362023,0.45234948467438235,5.0399922483244275,0.0,5.0399922483244275
8,-3.459946393966675,0.6842851638793945,-0.001531839370727539,0.36329030990600586,0.49936695047116275,0.8203618044445514,1.9280502796173096,0.8203618044445514,0.4714717033259561,5.145107303771703,0.0,5.145107303771703
97,-3.450883626937866,0.7057309150695801,-0.005471706390380859,-0.006556510925292969,0.49937318728685376,1.211660613281727,1.9280743598937988,1.211660613281727,0.4757639620259538,5.168492371754825,0.0,5.168492371754825
173,-3.360692024230957,0.7465958595275879,0.0021517276763916016,0.36388635635375977,0.49931332003128526,0.8820228232051134,1.9278432130813599,0.8820228232051134,0.5206684442891542,5.40576919587841,0.0,5.40576919587841
166,-3.351836919784546,0.7378458976745605,0.0030517578125,0.5361437797546387,0.4993074537194967,0.7010095716394186,1.9278205633163452,0.7010095716394186,0.5252994916883879,5.429644711637912,0.0,5.429644711637912
192,-3.3007538318634033,0.7668256759643555,-0.002181529998779297,-0.002384185791015625,0.49929673998165125,1.2685066017370223,1.927779197692871,1.2685066017370223,0.5528306125718545,5.569708421891423,0.0,5.569708421891423
0,-3.219794273376465,0.8143424987792969,-0.002175569534301758,-0.22560358047485352,0.49929853075051306,1.5392446100046635,1.927786111831665,1.5392446100046635,0.5994491838818826,5.799345758173368,0.0,5.799345758173368
2,-3.2079315185546875,0.8300662040710449,-0.005233287811279297,0.02473592758178711,0.499283309215188,1.3046135857044459,1.9277273416519165,1.3046135857044459,0.6066026485883058,5.833599030010957,0.0,5.833599030010957
171,-3.1749796867370605,0.8450627326965332,-0.0016927719116210938,0.09387731552124023,0.4992710825864076,1.2504564997617007,1.9276801347732544,1.2504564997617007,0.6269242960225244,5.930168424085831,0.0,5.930168424085831
147,-3.128507137298584,0.8617162704467773,-0.002467632293701172,0.18656253814697266,0.4992571578147411,1.1744108901145458,1.927626371383667,1.1744108901145458,0.6567466599225534,6.069125504387449,0.0,6.069125504387449
167,-3.1231837272644043,0.8753776550292969,-0.0006556510925292969,0.053048133850097656,0.49925873245632646,1.3215882536355257,1.927632451057434,1.3215882536355257,0.6602521138879776,6.085288042447367,0.0,6.085288042447367
184,-3.0893049240112305,0.8538603782653809,-0.0013113021850585938,-0.010728836059570312,0.4992387252455949,1.3638279395705462,1.9275552034378052,1.3638279395705462,0.6830038907221709,6.188789498512116,0.0,6.188789498512116
57,-3.087428331375122,0.8400082588195801,-0.0041484832763671875,-0.20503997802734375,0.499252433889985,1.544300670736909,1.9276081323623657,1.544300670736909,0.684286814179795,6.194757615118025,0.0,6.194757615118025
108,-3.0597476959228516,0.8413553237915039,0.0016927719116210938,0.24557113647460938,0.4992187797855138,1.0950029671024084,1.9274781942367554,1.0950029671024084,0.7034929000373888,6.280493839497324,0.0,6.280493839497324
124,-2.9701883792877197,0.8338570594787598,-0.0051975250244140625,0.011920928955078125,0.49915023656356333,1.321086367087245,1.9272135496139526,1.321086367087245,0.7694047014164701,6.56663419970879,0.0,6.56663419970879
13,-2.947977304458618,0.8414149284362793,-0.0066280364990234375,-0.27686357498168945,0.4991249805475473,1.617403483965516,1.9271160364151,1.617403483965516,0.7866852056874709,6.639483205030502,0.0,6.639483205030502
36,-2.9423038959503174,0.8247733116149902,-0.006312131881713867,-0.059604644775390625,0.4991144829369783,1.383492439327359,1.9270755052566528,1.383492439327359,0.791161076944198,6.658166381073419,0.0,6.658166381073419
161,-2.926833152770996,0.8032798767089844,-0.006306171417236328,-0.5289912223815918,0.49912155338644976,1.8313926524770259,1.92710280418396,1.8313926524770259,0.8034960967155832,6.709860730282953,0.0,6.709860730282953
31,-2.9059958457946777,0.8268594741821289,-0.0066220760345458984,-0.2384185791015625,0.49907400538563723,1.5643520586693287,1.9269192218780518,1.5643520586693287,0.8204144458054018,6.779346721140103,0.0,6.779346721140103
134,-2.7308237552642822,0.8444428443908691,-0.001817941665649414,-0.13321638107299805,0.49887702081084245,1.4765362462747096,1.9261586666107178,1.4765362462747096,0.9774838058530769,7.395685862318854,0.0,7.395685862318854
67,-2.6359150409698486,0.8059144020080566,0.0033676624298095703,0.1913309097290039,0.49890184457230563,1.1134853368513584,1.9262545108795166,1.1134853368513584,1.074800604438845,7.754753770814029,0.0,7.754753770814029
52,-2.490412950515747,0.753629207611084,-0.004166364669799805,0.3185868263244629,0.49889641051506994,0.933938791801691,1.9262335300445557,0.933938791801691,1.2431360389497397,8.338644691425188,0.0,8.338644691425188
34,-2.4341068267822266,0.7092952728271484,0.0015377998352050781,0.24884939193725586,0.49888597465515133,0.9593318555450439,1.9261932373046875,0.9593318555450439,1.3151403294147372,8.576076579288257,0.0,8.576076579288257
45,-2.420877456665039,0.6884574890136719,0.0014066696166992188,-0.3319978713989258,0.4989190112531185,1.5193743716657162,1.9263207912445068,1.5193743716657162,1.3326544022278468,8.63345012563371,0.0,8.63345012563371
156,-2.3499457836151123,0.6601452827453613,0.0011980533599853516,-0.29414892196655273,0.4988900193227529,1.453184224034667,1.9262088537216187,1.453184224034667,1.4306149939038315,8.943982874672727,0.0,8.943982874672727
118,-2.253020763397217,0.6572961807250977,0.0017642974853515625,-0.24825334548950195,0.4988920570942163,1.404441583308816,1.926216721534729,1.404441583308816,1.576219782644005,9.387233908359015,0.0,9.387233908359015
56,-2.2474782466888428,0.6625652313232422,0.00133514404296875,-0.32901763916015625,0.49888294887328144,1.4904658193566798,1.9261815547943115,1.4904658193566798,1.5849802622512321,9.413060408898527,0.0,9.413060408898527
51,-2.1951534748077393,0.6560683250427246,-0.0032722949981689453,-0.3546476364135742,0.49887235863673685,1.5095883200930356,1.9261406660079956,1.5095883200930356,1.6701220812379047,9.661867603104742,0.0,9.661867603104742
186,-2.123283624649048,0.6706953048706055,-0.003612041473388672,-0.17583370208740234,0.49887887333035463,1.3454078802883624,1.9261658191680908,1.3454078802883624,1.7945720413751207,10.014790769380163,0.0,10.014790769380163
164,-2.102710247039795,0.662076473236084,0.003796815872192383,-0.29712915420532227,0.49889545337998864,1.458101080821395,1.9262298345565796,1.458101080821395,1.8318748563432605,10.118469595370144,0.0,10.118469595370144
103,-2.0945334434509277,0.667262077331543,0.003159046173095703,0.38743019104003906,0.4988647324314117,0.7786966187229156,1.9261112213134766,0.7786966187229156,1.8469151441832339,10.159213948014477,0.0,10.159213948014477
140,-1.7995375394821167,0.6650209426879883,0.0013947486877441406,0.35822391510009766,0.49882434750604626,0.8056213750939369,1.9259552955627441,0.8056213750939369,2.4806302516496785,11.76940150728464,0.0,11.76940150728464
77,-1.7416218519210815,0.7242083549499512,5.9604644775390625e-06,0.2339482307434082,0.4987932869288921,0.989053411135435,1.925835371017456,0.989053411135435,2.6285394485710603,12.113744651827322,0.0,12.113744651827322
19,-1.7034595012664795,0.7454991340637207,0.0018417835235595703,0.35434961318969727,0.4987914961600303,0.8899410170340538,1.925828456878662,0.8899410170340538,2.7307893315327756,12.346592972453296,0.0,12.346592972453296
46,-1.668194055557251,0.7705211639404297,0.001138448715209961,0.3713369369506836,0.4987921754171848,0.8979764024069309,1.9258310794830322,0.8979764024069309,2.82881004815242,12.565801679565945,0.0,12.565801679565945
55,-1.6519125699996948,0.786745548248291,-0.00040531158447265625,0.16421079635620117,0.49879890623807904,1.121333658130169,1.9258570671081543,1.121333658130169,2.8752442613286444,12.668478838128978,0.0,12.668478838128978
109,-1.6460552215576172,0.7986903190612793,0.002086162567138672,0.2929568290710449,0.498800882258892,1.0045343722491265,1.9258646965026855,1.0045343722491265,2.892134987967706,12.705610980912759,0.0,12.705610980912759
198,-1.6272348165512085,0.8104205131530762,0.0064313411712646484,0.17374753952026367,0.49881344851624965,1.1354864221490621,1.9259132146835327,1.1354864221490621,2.9470815764332188,12.825819403542518,0.0,12.825819403542518
151,-1.6124740839004517,0.8060693740844727,0.005447864532470703,-0.31054019927978516,0.498846824742794,1.6154563981070518,1.926042079925537,1.6154563981070518,2.9909052991230958,12.921502636480435,0.0,12.921502636480435
11,-1.5622485876083374,0.8329987525939941,-0.0054895877838134766,-0.31501054763793945,0.49884935651946066,1.6468586567513943,1.9260518550872803,1.6468586567513943,3.1449613901459204,13.249507641642273,0.0,13.249507641642273
91,-1.5310461521148682,0.8487462997436523,-0.0009238719940185547,0.03427267074584961,0.4988371298906803,1.3133107588884831,1.9260046482086182,1.3133107588884831,3.244638847806235,13.457087217933971,0.0,13.457087217933971
